timestamp,vehicle_type,cumulative_count
2025-08-21 00:55:28,car,1
2025-08-21 00:55:29,car,2
2025-08-21 00:55:39,truck,1
2025-08-21 00:55:39,car,3
2025-08-21 00:55:44,car,4
2025-08-21 00:55:48,car,5
2025-08-21 00:55:57,car,6
2025-08-21 00:55:58,car,7
2025-08-21 00:56:04,car,8
2025-08-21 00:56:12,car,9
2025-08-21 00:56:13,bus,1
2025-08-21 00:56:22,truck,2
2025-08-21 00:56:26,car,10
2025-08-21 00:56:34,car,11
2025-08-21 00:56:34,car,12
2025-08-21 00:56:34,car,13
2025-08-21 00:56:43,car,14
2025-08-21 00:56:46,car,15
2025-08-21 00:56:54,car,16
2025-08-21 00:56:57,truck,3
2025-08-21 00:56:59,bus,2
2025-08-21 00:57:00,motorbike,1
2025-08-21 00:57:06,car,17
2025-08-21 00:57:10,car,18
2025-08-21 00:57:10,car,19
2025-08-21 00:57:15,car,20
2025-08-21 00:57:20,car,21
2025-08-21 00:57:20,car,22
2025-08-21 00:57:27,car,23
2025-08-21 00:57:27,car,24
2025-08-21 00:57:28,car,25
2025-08-21 00:57:31,car,26
2025-08-21 00:57:37,car,27
2025-08-21 00:57:44,car,28
2025-08-21 00:57:45,car,29
2025-08-21 00:57:57,car,30
2025-08-21 00:58:24,car,31
2025-08-21 00:58:25,truck,4
2025-08-21 00:58:30,truck,5
2025-08-21 00:59:09,car,32
2025-08-21 00:59:11,car,33
2025-08-21 00:59:26,car,34
2025-08-21 01:00:14,bus,3
2025-08-21 01:00:21,car,35
2025-08-21 01:01:18,car,36
2025-08-21 01:01:25,car,37
2025-08-21 01:01:55,car,38
2025-08-21 01:02:02,car,39
2025-08-21 01:02:13,car,40
2025-08-21 01:02:17,car,41
2025-08-21 01:02:54,car,42
2025-08-21 01:02:54,car,43
2025-08-21 01:02:57,truck,6
2025-08-21 01:03:36,car,44
2025-08-21 01:03:55,bus,4
2025-08-21 01:04:00,car,45
2025-08-21 01:04:09,car,46
2025-08-21 01:04:13,car,47
2025-08-21 01:04:13,truck,7
2025-08-21 01:04:35,car,48
2025-08-21 01:05:27,car,49
2025-08-21 01:05:37,car,50
2025-08-21 01:05:44,car,51
2025-08-21 01:06:04,car,52
